Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Lucien Agoume,0.2,Inter,17,0.8,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,39.0,92.3,671.0,201.0,16.0,17.0,94.1,16.0,18.0,88.9,4.0,4.0,100.0,0.0,0.1,-0.1,1.0,4.0,2.0,1.0,5.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.32,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,100.0,0.0,15.0,2.0,13.3,4.0,7.0,4.0,3.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0
Kevin Agudelo,0.25,Fiorentina,20,0.7,0.0,4.0,0.0,0.0,5.63,0.0,0.0,0,20.4,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,29.0,36.0,80.6,458.0,141.0,14.0,19.0,73.7,14.0,15.0,93.3,1.0,2.0,50.0,0.0,0.2,-0.2,2.0,1.0,1.0,0.0,3.0,6.0,8.44,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.41,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,22.0,6.0,27.3,6.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Kevin Agudelo,0.25,Genoa,20,7.4,1.0,10.0,2.0,20.0,1.35,0.27,0.1,0.5,16.7,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,245.0,301.0,81.4,3840.0,902.0,132.0,151.0,87.4,84.0,95.0,88.4,20.0,33.0,60.6,1.0,1.2,-0.2,11.0,20.0,5.0,0.0,17.0,31.0,4.19,21.0,0.0,5.0,0.0,1.0,4.0,2.0,0.27,1.0,0.0,0.0,0.0,0.0,1.0,25.0,18.0,12.0,10.0,3.0,10.0,26.0,38.5,16.0,217.0,46.0,21.2,72.0,109.0,36.0,12.0,1.0,0.0,11.0,6.0,31.0,3.0,0.0
Nayef Aguerd,0.1,Dijon,23,10.6,1.0,5.0,1.0,20.0,0.47,0.09,0.2,1.0,18.6,1.0,0.0,0.0,0.7,0.7,0.13,0.3,0.3,487.0,572.0,85.1,11844.0,4421.0,128.0,132.0,97.0,235.0,249.0,94.4,123.0,183.0,67.2,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,3.0,0.28,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,9.0,4.0,1.0,6.0,13.0,46.2,7.0,106.0,28.0,26.4,74.0,30.0,2.0,21.0,13.0,0.0,8.0,10.0,24.0,88.0,2.0
Sergio Aguero,0.3,Manchester City,31,16.1,16.0,73.0,25.0,34.2,4.52,1.55,0.19,0.56,12.9,0.0,2.0,3.0,14.1,11.9,0.16,1.9,2.1,285.0,368.0,77.4,3774.0,793.0,173.0,210.0,82.4,82.0,105.0,78.1,11.0,13.0,84.6,3.0,2.4,0.6,16.0,12.0,20.0,0.0,32.0,51.0,3.16,28.0,0.0,9.0,9.0,5.0,0.0,8.0,0.5,4.0,0.0,1.0,2.0,1.0,0.0,7.0,5.0,0.0,4.0,3.0,1.0,6.0,16.7,5.0,226.0,56.0,24.8,13.0,77.0,136.0,15.0,2.0,0.0,13.0,2.0,9.0,3.0,0.0
Ruben Aguilar,0.1,Monaco,26,11.9,0.0,7.0,3.0,42.9,0.59,0.25,0.0,0.0,22.7,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2,666.0,791.0,84.2,11012.0,4091.0,356.0,378.0,94.2,244.0,284.0,85.9,54.0,100.0,54.0,2.0,1.5,0.5,14.0,39.0,25.0,15.0,51.0,24.0,2.01,22.0,0.0,0.0,0.0,1.0,1.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,20.0,14.0,5.0,18.0,27.0,66.7,9.0,203.0,71.0,35.0,99.0,75.0,29.0,11.0,2.0,0.0,9.0,11.0,50.0,25.0,1.0
Emmanuel Agyemang Badu,0.25,Hellas Verona,28,2.6,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,91.0,104.0,87.5,1746.0,291.0,37.0,40.0,92.5,40.0,44.0,90.9,13.0,19.0,68.4,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,3.0,1.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,30.0,4.0,13.3,13.0,11.0,6.0,4.0,2.0,0.0,2.0,1.0,3.0,6.0,0.0
Jean Eudes Aholou,0.2,Saint Etienne,25,7.0,1.0,10.0,4.0,40.0,1.43,0.57,0.1,0.25,16.7,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,262.0,313.0,83.7,4836.0,831.0,103.0,118.0,87.3,122.0,135.0,90.4,32.0,50.0,64.0,1.0,0.1,0.9,3.0,17.0,0.0,0.0,20.0,12.0,1.71,7.0,0.0,1.0,0.0,1.0,3.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,21.0,19.0,6.0,13.0,2.0,4.0,11.0,36.4,7.0,148.0,57.0,38.5,25.0,103.0,20.0,8.0,1.0,0.0,7.0,12.0,33.0,13.0,0.0
Joseph Aidoo,0.1,Celta Vigo,23,27.8,0.0,10.0,1.0,10.0,0.36,0.04,0.0,0.0,10.2,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,1073.0,1223.0,87.7,23979.0,6722.0,233.0,262.0,88.9,615.0,659.0,93.3,219.0,279.0,78.5,1.0,0.8,0.2,2.0,61.0,2.0,0.0,62.0,13.0,0.47,9.0,1.0,1.0,2.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,28.0,11.0,1.0,8.0,28.0,28.6,20.0,304.0,108.0,35.5,218.0,79.0,7.0,42.0,16.0,0.0,26.0,33.0,73.0,162.0,1.0
Ola Aina,0.1,Torino,22,23.1,0.0,12.0,2.0,16.7,0.52,0.09,0.0,0.0,23.3,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,863.0,1160.0,74.4,15457.0,6411.0,420.0,468.0,89.7,320.0,405.0,79.0,107.0,234.0,45.7,2.0,2.2,-0.2,21.0,56.0,21.0,11.0,84.0,46.0,1.99,25.0,11.0,4.0,0.0,5.0,1.0,7.0,0.3,3.0,2.0,0.0,0.0,2.0,0.0,49.0,28.0,26.0,19.0,4.0,24.0,49.0,49.0,25.0,328.0,95.0,29.0,140.0,130.0,58.0,70.0,9.0,0.0,61.0,26.0,75.0,56.0,1.0
