Player,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.2,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh.3,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cl_Squad,Cl_Country,Cl_LgR,Cl_GF,Cl_GA,Cl_GD,Cl_xG,Cl_xGA,Cl_xGD,Cl_xGD/90,Start_Value,Value_Change
Andre Gomes,0.2,Everton,26,16.2,0.0,5.0,0.0,0.0,0.31,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,719.0,859.0,83.7,16373.0,4192.0,213.0,241.0,88.4,347.0,384.0,90.4,152.0,214.0,71.0,1.0,0.9,0.1,12.0,90.0,11.0,3.0,76.0,29.0,1.79,25.0,1.0,2.0,0.0,1.0,0.0,2.0,0.12,1.0,0.0,0.0,0.0,1.0,0.0,32.0,24.0,13.0,14.0,5.0,7.0,63.0,11.1,56.0,367.0,92.0,25.1,127.0,195.0,45.0,28.0,3.0,0.0,25.0,5.0,37.0,10.0,0.0, Everton,1,12,44,56,-12,49.3,48.4,0.9,0.02,25.2,20.25
Maxime Gonalons,0.2,Granada,30,16.7,0.0,6.0,3.0,50.0,0.36,0.18,0.0,0.0,19.1,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,482.0,579.0,83.2,10754.0,2761.0,138.0,160.0,86.3,225.0,259.0,86.9,112.0,144.0,77.8,0.0,0.5,-0.5,5.0,55.0,5.0,0.0,48.0,14.0,0.84,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,39.0,25.0,32.0,4.0,23.0,58.0,39.7,35.0,421.0,131.0,31.1,138.0,255.0,28.0,26.0,3.0,0.0,23.0,12.0,73.0,37.0,0.0, Granada,2,7,52,45,7,40.9,41.2,-0.2,-0.01,3.6,2.52
Edgar Gonzalez,0.2,Betis,22,7.6,0.0,6.0,1.0,16.7,0.79,0.13,0.0,0.0,6.6,0.0,0.0,0.0,1.0,1.0,0.17,-1.0,-1.0,310.0,347.0,89.3,6145.0,1168.0,103.0,110.0,93.6,158.0,166.0,95.2,47.0,60.0,78.3,0.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,3.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,6.0,1.0,4.0,16.0,25.0,12.0,101.0,27.0,26.7,35.0,51.0,15.0,11.0,5.0,0.0,6.0,5.0,15.0,27.0,0.0, Betis,2,15,48,60,-12,47.2,49.5,-2.3,-0.06,1.8,0.72
Leon Goretzka,0.2,Bayern Munich,24,16.8,6.0,39.0,15.0,38.5,2.32,0.89,0.15,0.4,16.5,0.0,0.0,0.0,5.1,5.1,0.13,0.9,0.9,799.0,924.0,86.5,14795.0,2976.0,336.0,376.0,89.4,335.0,371.0,90.3,109.0,129.0,84.5,5.0,3.0,2.0,19.0,74.0,24.0,1.0,77.0,56.0,3.33,46.0,0.0,4.0,3.0,3.0,0.0,15.0,0.89,11.0,0.0,0.0,2.0,2.0,0.0,29.0,21.0,8.0,16.0,5.0,6.0,39.0,15.4,33.0,280.0,86.0,30.7,42.0,153.0,85.0,21.0,3.0,0.0,18.0,19.0,48.0,10.0,0.0, Bayern Munich,4,1,100,32,68,82.3,34.3,48.0,1.41,45.0,45.0
Dan Gosling,0.2,Bournemouth,29,14.0,3.0,12.0,6.0,50.0,0.85,0.43,0.25,0.5,10.9,0.0,0.0,0.0,2.1,2.1,0.18,0.9,0.9,405.0,510.0,79.4,6653.0,1624.0,196.0,229.0,85.6,161.0,187.0,86.1,34.0,57.0,59.6,1.0,1.0,0.0,10.0,33.0,7.0,2.0,40.0,18.0,1.28,15.0,0.0,0.0,1.0,2.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,16.0,8.0,4.0,7.0,30.0,23.3,23.0,356.0,92.0,25.8,133.0,149.0,74.0,38.0,11.0,0.0,27.0,12.0,40.0,27.0,0.0, Bournemouth,1,18,40,65,-25,42.7,57.5,-14.9,-0.39,3.15,1.8
Esteban Granero,0.2,Espanyol,32,5.3,1.0,7.0,7.0,100.0,1.33,1.33,0.14,0.14,15.2,0.0,0.0,0.0,1.3,1.3,0.19,-0.3,-0.3,161.0,224.0,71.9,2976.0,833.0,71.0,85.0,83.5,62.0,81.0,76.5,24.0,49.0,49.0,0.0,0.5,-0.5,11.0,15.0,1.0,0.0,13.0,18.0,3.42,7.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,4.0,4.0,1.0,3.0,10.0,30.0,7.0,86.0,23.0,26.7,20.0,52.0,14.0,4.0,3.0,0.0,1.0,4.0,13.0,5.0,0.0, Espanyol,2,20,27,58,-31,33.0,44.5,-11.6,-0.3,2.7,2.16
Alberto Grassi,0.2,Parma,24,7.1,1.0,8.0,2.0,25.0,1.12,0.28,0.13,0.5,20.0,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,217.0,256.0,84.8,3814.0,1087.0,106.0,118.0,89.8,83.0,96.0,86.5,21.0,30.0,70.0,1.0,0.2,0.8,5.0,21.0,4.0,1.0,15.0,10.0,1.4,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.28,1.0,0.0,0.0,0.0,1.0,0.0,10.0,7.0,6.0,4.0,0.0,4.0,11.0,36.4,7.0,109.0,35.0,32.1,38.0,49.0,22.0,16.0,4.0,0.0,12.0,16.0,26.0,9.0,0.0, Parma,3,11,56,57,-1,46.6,62.1,-15.5,-0.41,6.3,4.95
Clement Grenier,0.2,Rennes,28,9.3,1.0,7.0,2.0,28.6,0.75,0.21,0.14,0.5,31.5,5.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2,334.0,450.0,74.2,6358.0,1838.0,132.0,152.0,86.8,158.0,187.0,84.5,38.0,92.0,41.3,0.0,0.6,-0.6,11.0,46.0,3.0,0.0,39.0,26.0,2.79,19.0,3.0,2.0,0.0,2.0,0.0,2.0,0.21,0.0,1.0,1.0,0.0,0.0,0.0,17.0,10.0,6.0,10.0,1.0,11.0,40.0,27.5,29.0,176.0,42.0,23.9,54.0,97.0,25.0,9.0,2.0,0.0,7.0,6.0,23.0,18.0,0.0, Rennes,5,3,38,24,14,36.2,29.2,7.1,0.25,6.75,4.95
Florian Grillitsch,0.15,Hoffenheim,23,26.8,0.0,17.0,1.0,5.9,0.64,0.04,0.0,0.0,20.1,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1,1577.0,1775.0,88.8,33358.0,7544.0,491.0,538.0,91.3,799.0,855.0,93.5,271.0,345.0,78.6,3.0,2.4,0.6,20.0,110.0,25.0,5.0,128.0,59.0,2.21,47.0,1.0,5.0,2.0,3.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,68.0,45.0,38.0,29.0,1.0,26.0,61.0,42.6,35.0,407.0,131.0,32.2,175.0,199.0,33.0,53.0,7.0,0.0,46.0,36.0,104.0,46.0,0.0, Hoffenheim,4,6,53,53,0,49.9,51.8,-2.0,-0.06,19.8,18.0
Carlos Gruezo,0.2,Augsburg,24,9.8,0.0,6.0,0.0,0.0,0.61,0.0,0.0,0.0,25.4,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,255.0,309.0,82.5,5795.0,1655.0,76.0,87.0,87.4,106.0,117.0,90.6,69.0,92.0,75.0,1.0,0.2,0.8,3.0,27.0,1.0,0.0,31.0,11.0,1.12,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,12.0,11.0,1.0,5.0,24.0,20.8,19.0,177.0,48.0,27.1,65.0,100.0,12.0,7.0,0.0,0.0,7.0,4.0,28.0,9.0,0.0, Augsburg,4,15,45,63,-18,42.2,55.0,-12.8,-0.38,1.8,2.7
